query_id,query_text,core_intent,streaming_service,region,device,modifier,pick1_name,pick1_url,pick2_name,pick2_url,pick3_name,pick3_url
19201,Best VPN for Public Wi-Fi for Netflix in United States on PC,VPN for Public Wi-Fi,Netflix,United States,PC,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19202,Cheapest VPN for Public Wi-Fi for Netflix in United States on PC,VPN for Public Wi-Fi,Netflix,United States,PC,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19203,Fastest VPN for Public Wi-Fi for Netflix in United States on PC,VPN for Public Wi-Fi,Netflix,United States,PC,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19204,Safest VPN for Public Wi-Fi for Netflix in United States on PC,VPN for Public Wi-Fi,Netflix,United States,PC,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19205,Best VPN for Public Wi-Fi for Netflix in United States on iPhone,VPN for Public Wi-Fi,Netflix,United States,iPhone,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19206,Cheapest VPN for Public Wi-Fi for Netflix in United States on iPhone,VPN for Public Wi-Fi,Netflix,United States,iPhone,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19207,Fastest VPN for Public Wi-Fi for Netflix in United States on iPhone,VPN for Public Wi-Fi,Netflix,United States,iPhone,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19208,Safest VPN for Public Wi-Fi for Netflix in United States on iPhone,VPN for Public Wi-Fi,Netflix,United States,iPhone,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19209,Best VPN for Public Wi-Fi for Netflix in United States on Android,VPN for Public Wi-Fi,Netflix,United States,Android,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19210,Cheapest VPN for Public Wi-Fi for Netflix in United States on Android,VPN for Public Wi-Fi,Netflix,United States,Android,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19211,Fastest VPN for Public Wi-Fi for Netflix in United States on Android,VPN for Public Wi-Fi,Netflix,United States,Android,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19212,Safest VPN for Public Wi-Fi for Netflix in United States on Android,VPN for Public Wi-Fi,Netflix,United States,Android,Safest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19213,Best VPN for Public Wi-Fi for Netflix in United Kingdom on PC,VPN for Public Wi-Fi,Netflix,United Kingdom,PC,Best,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19214,Cheapest VPN for Public Wi-Fi for Netflix in United Kingdom on PC,VPN for Public Wi-Fi,Netflix,United Kingdom,PC,Cheapest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
19215,Fastest VPN for Public Wi-Fi for Netflix in United Kingdom on PC,VPN for Public Wi-Fi,Netflix,United Kingdom,PC,Fastest,ExpressVPN,https://globalvpnaccess.com/products/expressvpn,NordVPN,https://globalvpnaccess.com/products/nordvpn,Surfshark,https://globalvpnaccess.com/products/surfshark
